11-22 23:08:22: Training starting...
11-22 23:08:26: New best reward -7.3 (-100.0%) at episode 0, saving model...
11-22 23:08:27: New best reward 2.9 (-139.7%) at episode 4, saving model...
11-22 23:08:27: New best reward 4.7 (+62.1%) at episode 6, saving model...
11-22 23:08:33: New best reward 6.5 (+38.3%) at episode 32, saving model...
11-22 23:08:50: New best reward 9.1 (+40.0%) at episode 103, saving model...
11-22 23:09:18: New best reward 10.6 (+16.5%) at episode 209, saving model...
11-22 23:10:05: New best reward 13.5 (+27.4%) at episode 421, saving model...
11-22 23:10:43: New best reward 15.3 (+13.3%) at episode 597, saving model...
11-22 23:29:14: New best reward 15.4 (+0.7%) at episode 6200, saving model...
11-23 04:14:43: New best reward 19.2 (+24.7%) at episode 110723, saving model...
11-23 04:43:18: New best reward 22.0 (+14.6%) at episode 120715, saving model...
