11-25 23:13:59: Training starting...
11-25 23:14:02: New best reward 4.1 (-100.0%) at episode 0, saving model...
11-25 23:14:09: New best reward 233.3 (+5590.2%) at episode 1, saving model...
11-25 23:14:19: New best reward 251.2 (+7.7%) at episode 3, saving model...
11-25 23:14:41: New best reward 387.6 (+54.3%) at episode 9, saving model...
11-25 23:14:57: New best reward 511.7 (+32.0%) at episode 11, saving model...
11-25 23:21:16: New best reward 572.2 (+11.8%) at episode 144, saving model...
11-25 23:23:27: New best reward 621.2 (+8.6%) at episode 183, saving model...
11-25 23:23:55: New best reward 779.3 (+25.5%) at episode 189, saving model...
11-25 23:28:52: New best reward 887.7 (+13.9%) at episode 255, saving model...
11-25 23:31:45: New best reward 913.0 (+2.9%) at episode 280, saving model...
11-25 23:33:57: New best reward 970.3 (+6.3%) at episode 294, saving model...
11-25 23:39:28: New best reward 1072.5 (+10.5%) at episode 341, saving model...
11-25 23:41:34: New best reward 1118.3 (+4.3%) at episode 356, saving model...
11-25 23:42:50: New best reward 1256.8 (+12.4%) at episode 360, saving model...
11-25 23:44:48: New best reward 1539.2 (+22.5%) at episode 374, saving model...
11-26 00:03:19: New best reward 2498.3 (+62.3%) at episode 484, saving model...
11-26 00:37:57: New best reward 2755.1 (+10.3%) at episode 626, saving model...
11-26 02:09:00: New best reward 3033.1 (+10.1%) at episode 969, saving model...
11-26 02:19:53: New best reward 6490.0 (+114.0%) at episode 991, saving model...
11-26 06:10:23: New best reward 8335.0 (+28.4%) at episode 1766, saving model...
11-26 06:17:00: New best reward 11518.1 (+38.2%) at episode 1768, saving model...
