11-24 13:18:42: Training starting...
11-24 13:18:45: New best reward -11.5 (-100.0%) at episode 0, saving model...
11-24 13:18:45: New best reward -10.9 (-5.2%) at episode 1, saving model...
11-24 13:18:46: New best reward -10.3 (-5.5%) at episode 3, saving model...
11-24 13:18:46: New best reward -7.3 (-29.1%) at episode 4, saving model...
11-24 13:18:55: New best reward 1.7 (-123.3%) at episode 42, saving model...
11-24 13:20:40: New best reward 2.9 (+70.6%) at episode 509, saving model...
11-24 13:20:51: New best reward 3.5 (+20.7%) at episode 557, saving model...
11-24 13:20:52: New best reward 3.8 (+8.6%) at episode 563, saving model...
11-24 13:21:07: New best reward 5.3 (+39.5%) at episode 629, saving model...
11-24 13:21:19: New best reward 6.5 (+22.6%) at episode 685, saving model...
11-24 13:22:47: New best reward 7.3 (+12.3%) at episode 1070, saving model...
11-24 13:24:22: New best reward 7.4 (+1.4%) at episode 1497, saving model...
11-24 13:25:00: New best reward 9.1 (+23.0%) at episode 1664, saving model...
11-24 13:25:56: New best reward 13.6 (+49.5%) at episode 1914, saving model...
11-24 13:29:38: New best reward 13.7 (+0.7%) at episode 2879, saving model...
11-24 13:32:24: New best reward 18.3 (+33.6%) at episode 3567, saving model...
11-24 13:33:19: New best reward 18.6 (+1.6%) at episode 3769, saving model...
