11-22 14:37:20: Training starting...
11-22 14:37:23: New best reward 1.6 (-100.0%) at episode 0, saving model...
11-22 14:37:23: New best reward 3.9 (+143.7%) at episode 2, saving model...
11-22 14:37:26: New best reward 4.1 (+5.1%) at episode 17, saving model...
11-22 14:37:27: New best reward 5.2 (+26.8%) at episode 20, saving model...
11-22 14:37:34: New best reward 5.3 (+1.9%) at episode 57, saving model...
11-22 14:37:36: New best reward 8.4 (+58.5%) at episode 61, saving model...
11-22 14:39:35: New best reward 9.2 (+9.5%) at episode 550, saving model...
11-22 14:41:45: New best reward 9.6 (+4.3%) at episode 1104, saving model...
11-22 14:43:20: New best reward 11.1 (+15.6%) at episode 1515, saving model...
11-22 14:43:37: New best reward 13.5 (+21.6%) at episode 1582, saving model...
